Ni;Ti;Hf;Cv;melting point;electronegativity;atomic radius;ionic radius;atomic mass;wcr;hom.T;hom.time;sht.T;sht.time;ag.T;ag.time;Af;Hysteresis
51;29;20;0.2014;1672.6;1.6807;0.1382;0.0786;79.531;0.473;1050;72;0;0;0;0;208;63
51;29;20;0.2014;1672.6;1.6807;0.1382;0.0786;79.531;0.473;1050;72;0;0;400;3;212;65
51;29;20;0.2014;1672.6;1.6807;0.1382;0.0786;79.531;0.473;1050;72;0;0;550;3;219;70
50.9;29.1;20;0.2012;1672.8;1.6803;0.1382;0.0786;79.52;0.474;1050;72;0;0;650;3;184;58
50.9;29.1;20;0.2012;1672.8;1.6803;0.1382;0.0786;79.52;0.474;1050;72;0;0;400;3;209;62
50.9;29.1;20;0.2012;1672.8;1.6803;0.1382;0.0786;79.52;0.474;1050;72;0;0;0;0;207;63
50.9;29.1;20;0.2012;1672.8;1.6803;0.1382;0.0786;79.52;0.474;1050;72;0;0;550;3;215;67
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;0;0;650;3;187;55
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;0;0;400;3;207;60
50.8;29.2;20;0.2011;1673;1.68;0.1382;0.0786;79.509;0.474;1050;72;0;0;550;3;206;61
50.7;29.3;20;0.201;1673.2;1.6796;0.1382;0.0786;79.499;0.474;1050;72;1050;3;0;0;58;41
50.7;29.3;20;0.201;1673.2;1.6796;0.1382;0.0786;79.499;0.474;1050;72;0;0;550;3;192;49
50.7;29.3;20;0.201;1673.2;1.6796;0.1382;0.0786;79.499;0.474;1050;72;0;0;0;0;195;52
50.7;29.3;20;0.201;1673.2;1.6796;0.1382;0.0786;79.499;0.474;1050;72;0;0;400;3;199;54
50.7;29.3;20;0.201;1673.2;1.6796;0.1382;0.0786;79.499;0.474;1050;72;0;0;650;3;195;55
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1050;72;0;0;550;3;191;29
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1050;72;0;0;400;3;174;29
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1050;72;1050;3;0;0;123;30
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1050;72;0;0;0;0;168;32
50.6;29.4;20;0.2008;1673.4;1.6792;0.1383;0.0786;79.488;0.474;1050;72;0;0;650;3;207;47
50.5;29.5;20;0.2007;1673.6;1.6789;0.1383;0.0786;79.477;0.474;1050;72;0;0;400;3;161;25
50.5;29.5;20;0.2007;1673.6;1.6789;0.1383;0.0786;79.477;0.474;1050;72;0;0;550;3;209;29
50.5;29.5;20;0.2007;1673.6;1.6789;0.1383;0.0786;79.477;0.474;1050;72;1050;3;0;0;164;29
50.5;29.5;20;0.2007;1673.6;1.6789;0.1383;0.0786;79.477;0.474;1050;72;0;0;0;0;167;32
50.5;29.5;20;0.2007;1673.6;1.6789;0.1383;0.0786;79.477;0.474;1050;72;0;0;650;3;218;36
50.4;29.6;20;0.2005;1673.8;1.6785;0.1383;0.0786;79.466;0.474;1050;72;0;0;550;3;238;27
50.4;29.6;20;0.2005;1673.8;1.6785;0.1383;0.0786;79.466;0.474;1050;72;1050;3;0;0;209;27
50.4;29.6;20;0.2005;1673.8;1.6785;0.1383;0.0786;79.466;0.474;1050;72;0;0;400;3;210;29
50.4;29.6;20;0.2005;1673.8;1.6785;0.1383;0.0786;79.466;0.474;1050;72;0;0;0;0;210;32
50.4;29.6;20;0.2005;1673.8;1.6785;0.1383;0.0786;79.466;0.474;1050;72;0;0;650;3;244;35
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;1050;72;1050;3;0;0;234;30
50.2;29.8;20;0.2003;1674.3;1.6777;0.1384;0.0786;79.445;0.475;1050;72;0;0;400;3;264;29
50.2;29.8;20;0.2003;1674.3;1.6777;0.1384;0.0786;79.445;0.475;1050;72;0;0;650;3;267;35
50.2;29.8;20;0.2003;1674.3;1.6777;0.1384;0.0786;79.445;0.475;1050;72;0;0;0;0;268;36
